sample	segments	clonality	ploidy	purity	homozygousLoss	use	notes
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F04_464688	263	0.117	2.103	1	NA	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F06_464692	139	0.144	4.211	1	0.017	FALSE	Non-interleaving copy states
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F07_464698	90	0.215	2.808	1	0.042	FALSE	High prop. Non-integer
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F08_464696	140	0.102	2.793	1	0.014	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F09_464670	169	0.145	5.22	0.96	NA	TRUE	Refit at higher ploidy; Original ploidy 2.41; manual minimum 3.5; New ploidy 4.98
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F11_464674	28	0.021	1.963	1	0	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F12_464672	186	0.109	2.817	1	0.218	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_G01_464678	117	0.107	3.04	1	0.07	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_G02_464676	329	0.116	2.74	1	0.447	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_G05_464656	143	0.203	3.266	1	0.012	FALSE	High prop. Non-integer
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_G09_464664	94	0.231	3.86	1	0.016	FALSE	High prop. Non-integer;  No fit correlation
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_G11_464660	129	0.153	5.829	0.95	0.247	FALSE	High prop. Non-integer;  No fit correlation
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_G12_464662	34	0.079	2.08	1	0.005	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_H01_464640	129	0.062	2.086	1	0.02	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_H02_464642	275	0.115	2.645	1	0.079	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_H03_464636	253	0.107	2.005	0.96	NA	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_H04_464638	74	0.209	2.251	0.95	0.012	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_H05_464648	40	0.079	2.134	1	0.002	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_H07_464644	154	0.088	1.951	1	0.017	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_H08_464646	34	0.035	1.96	1	0.005	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_H09_464634	171	0.062	2.187	1	0.072	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_H10_464632	182	0.113	3.036	1	NA	TRUE	NA
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_H11_464630	358	0.244	2.496	1	2.488	FALSE	High prop. Non-integer; No fit correlation; oversegmentation
BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_H12_464628	217	0.11	2.667	1	0.011	TRUE	NA
BPH-1	92	0.123	3.225	0.95	0.002	TRUE	NA
BT-20	204	0.19	5.044	0.95	0.046	FALSE	High prop. Non-integer; No fit correlation
BT-483	110	0.085	3.923	0.95	0.004	TRUE	NA
BT-549	75	0.092	3.081	0.95	0.055	TRUE	NA
BV-173	101	0.049	2.062	1	0.027	TRUE	NA
BxPC-3	202	0.093	2.489	0.96	0.332	TRUE	
C-33-A	112	0.051	2.056	1	0.039	TRUE	NA
C-4-I	153	0.108	1.916	1	NA	TRUE	NA
C32	147	0.057	2.033	0.95	0.032	TRUE	NA
C3A	152	0.133	2.244	0.97	0.02	TRUE	NA
CA46	174	0.124	2.041	1	0.015	TRUE	NA
Ca9-22	227	0.131	2.626	0.95	0.063	TRUE	NA
CADO-ES1	49	0.069	2.056	0.95	0.028	TRUE	NA
CAKI-1	83	0.159	3.221	0.95	0.01	FALSE	High prop. Non-integer
CAL-120	206	0.174	4.393	0.95	0.08	TRUE	NA
CAL-12T	86	0.047	2.471	0.95	0.009	TRUE	NA
CAL-148	54	0.056	2.141	0.95	0.003	TRUE	NA
CAL-27	109	0.054	1.954	1	0.018	TRUE	NA
CAL-29	76	0.078	3.022	0.95	0.067	TRUE	NA
CAL-33	83	0.058	2.091	0.95	0.269	TRUE	NA
CAL-39	135	0.141	5.223	0.95	0.013	TRUE	NA
CAL-51	43	0.026	2.012	1	0.013	TRUE	NA
CAL-54	54	0.036	2.384	0.95	0.063	TRUE	NA
CAL-62	77	0.153	2.913	0.95	0.096	TRUE	NA
CAL-72	271	0.134	2.391	0.95	NA	TRUE	NA
CAL-78	384	0.16	3.798	0.95	0.183	FALSE	Oversegmentation
CAL-85-1	147	0.143	2.69	0.95	0.012	TRUE	NA
Calu-3	148	0.159	2.855	0.95	NA	TRUE	NA
Calu-6	134	0.119	2.671	0.99	0.138	TRUE	NA
CAMA-1	155	0.213	5.691	0.95	0	FALSE	High prop. Non-integer; No fit correlation
Caov-3	241	0.144	3.179	0.95	0.618	TRUE	NA
Caov-4	192	0.099	4.818	0.95	NA	TRUE	NA
CAPAN-1	165	0.153	2.704	0.95	0.229	TRUE	NA
Capan-2	66	0.156	3.2	0.95	0.004	TRUE	NA
CaR-1	125	0.163	2.702	1	0.037	FALSE	High prop. Non-integer; No fit correlation
CAS-1	82	0.185	4.777	1	0.181	FALSE	High prop. Non-integer; No fit correlation
CCF-STTG1	66	0.154	4.032	0.97	0	FALSE	Non-interleaving copy states
CCK-81	119	0.126	3.741	0.95	0.001	TRUE	NA
CCRF-CEM	64	0.033	1.978	1	0.045	TRUE	NA
CESS	48	NA	NA	0.95	NA	TRUE	NA
CFPAC-1	159	0.264	2.606	1	0.024	FALSE	High prop. Non-integer; No fit correlation
CGTH-W-1	212	0.173	3.379	0.98	NA	FALSE	High prop. Non-integer; No fit correlation
ChaGo-K-1	249	0.259	2.419	0.96	0.059	FALSE	High prop. Non-integer; No fit correlation; oversegmentation
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_A03_490392	195	0.199	1.88	1	0.03	FALSE	Oversegmentation
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_A04_490486	140	0.231	4.501	1	0.001	FALSE	High prop. Non-integer
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_A05_490478	99	0.065	2.042	0.95	0.007	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_A06_490518	64	0.125	1.738	1	0.009	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_A07_490460	189	0.167	1.991	1	0.18	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_A10_490440	32	0.028	2.024	1	0.001	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_A12_490504	73	0.051	3.877	1	NA	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_B01_490394	173	0.094	2.455	1	0.036	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_B02_490372	328	0.137	2.999	1	0.059	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_B04_490386	39	0.029	1.967	1	0.004	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_B05_490454	69	0.226	5.102	0.95	0.221	FALSE	High prop. Non-integer; No fit correlation
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_B06_490494	198	0.232	5.293	0.95	0.041	FALSE	High prop. Non-integer; No fit correlation; oversegmentation
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_B07_490458	334	0.134	2.743	1	0.087	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_B08_490354	345	0.24	4.137	1	0.03	FALSE	High prop. Non-integer; No fit correlation; oversegmentation
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_B11_490510	163	0.206	2.53	0.95	0.003	FALSE	High prop. Non-integer; No fit correlation; oversegmentation
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_B12_490428	156	0.112	3.085	1	0.021	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_C01_490348	87	0.069	2.015	1	0.039	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_C02_490356	150	0.187	2.971	0.95	NA	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_C05_490340	113	0.112	1.943	1	0.016	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_C06_490370	114	0.088	3.166	1	0.046	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_C07_490506	78	0.2	4.686	1	0.003	FALSE	High prop. Non-integer; No fit correlation
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_C08_490450	87	0.072	3.094	1	0.027	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_C09_490426	49	0.018	1.958	1	0.013	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_C10_490500	98	0.056	1.999	1	0.014	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_D02_490432	46	0.089	2.025	1	0.002	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_D03_490508	64	0.054	2.098	1	0.389	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_D04_490498	119	0.096	2.171	1	0.007	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_D05_490416	139	0.066	1.936	1	0.172	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_D06_490336	89	0.075	2.009	1	0.014	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_D07_490364	59	0.03	1.961	1	0.007	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_D08_490438	48	0.088	2.926	1	0.005	TRUE	Refit at higher ploidy; Original ploidy 1.98; manual minimum 2.8; New ploidy 2.83
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_D09_490422	60	0.064	2.178	0.99	0.009	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E02_490412	215	0.202	2.558	1	0.102	TRUE	Shattered chrom. 13
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E05_490472	228	0.144	2.788	1	0.091	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E06_490352	252	0.214	5.132	1	0.053	FALSE	High prop. Non-integer; No fit correlation; oversegmentation
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E07_490332	134	0.236	2.672	0.98	0.014	FALSE	High prop. Non-integer; No fit correlation; oversegmentation
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E08_490384	285	0.223	3.864	1	0.024	FALSE	High prop. Non-integer
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E09_490470	78	0.064	2.039	0.99	NA	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E10_490496	144	0.172	2.206	1	0.016	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E11_490468	91	0.108	3.069	1	0.072	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E12_490484	51	0.075	2.051	1	0.027	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_F02_490448	142	0.045	1.942	0.98	0.059	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_F03_490490	151	0.075	2.695	1	NA	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_F04_490502	153	0.077	1.945	1	0.025	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_F05_490436	132	0.227	2.936	0.98	0.281	FALSE	High prop. Non-integer; No fit correlation
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_F06_490482	217	0.128	2.02	1	0.017	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_F07_490390	291	0.244	2.629	1	0.251	FALSE	High prop. Non-integer; No fit correlation
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_F09_490366	141	0.194	3.51	1	0.016	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_F10_490358	79	0.038	1.962	1	0.046	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_F11_490410	35	0.042	1.979	1	0.015	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_F12_490516	176	0.224	4.458	0.95	0.003	FALSE	High prop. Non-integer; No fit correlation
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_G03_490446	63	0.026	1.946	1	NA	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_G04_490362	113	0.161	2.598	1	NA	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_G05_490434	63	0.033	3.15	1	0.003	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_G06_490466	206	0.203	5.551	0.97	0.069	FALSE	High prop. Non-integer; No fit correlation
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_G08_490452	229	0.043	2.375	1	NA	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_G09_490464	253	0.157	5.562	1	0.073	TRUE	Shattered chrom. 8
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_G10_490492	134	0.141	3.522	1	0.032	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_G12_490398	44	0.077	2.196	1	0.006	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_H01_490514	186	0.205	2.962	1	0.095	FALSE	High prop. Non-integer
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_H02_490418	157	0.206	4.114	0.95	0.005	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_H03_490396	72	0.114	1.994	1	0.029	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_H04_490342	68	0.073	2.123	1	0.004	TRUE	Refit at lower ploidy; Original ploidy 4.05; manual maximum 3.5; New ploidy 2.03
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_H05_490430	263	0.149	1.968	1	0.034	FALSE	Oversegmentation
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_H09_490462	117	0.077	2.724	1	0.001	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_H10_490512	124	0.069	3.238	1	0.064	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_H11_490344	211	0.142	3.242	0.99	0.009	TRUE	NA
CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_H12_490414	33	0.029	1.954	1	0.002	TRUE	NA
CHL-1	125	0.224	3.34	1	0.004	TRUE	NA
CHP-126	73	0.089	2.03	0.97	0.004	TRUE	NA
CHP-134	62	0.058	1.918	0.98	0.002	TRUE	NA
CHP-212	66	0.06	1.946	0.95	0.014	TRUE	NA
CHSA0108	120	0.227	2.857	1	0.074	FALSE	High prop. Non-integer
CL-11	89	0.067	2.02	1	0.01	TRUE	NA
CL-34	76	0.067	1.991	0.95	NA	TRUE	NA
CL-40	37	0.03	2.07	1	0.001	TRUE	NA
CMK	121	0.113	3.737	0.95	0.08	TRUE	NA
CML-T1	50	0.045	1.964	1	0.05	TRUE	NA
COLO-205	114	0.079	3.257	0.95	0.004	TRUE	NA
COLO-320-HSR	201	0.127	2.274	0.95	0.024	TRUE	Some oversegmentation
COLO-668	79	0.055	3.124	0.95	0.078	TRUE	NA
COLO-678	234	0.065	2.382	0.95	0.296	TRUE	NA
COLO-679	92	0.057	4.242	1	0	TRUE	Refit at higher ploidy; Original ploidy 2.04; manual minimum 3.2; New ploidy 4.02
COLO-680N	214	0.128	3.008	0.95	0.096	TRUE	NA
COLO-684	36	0.081	2.259	0.95	0.001	TRUE	NA
COLO-741	131	0.148	4.937	0.95	0.021	TRUE	NA
COLO-783	135	0.234	4.32	1	0.001	FALSE	High prop. Non-integer; No fit correlation
COLO-792	89	0.147	3.488	0.95	0.013	TRUE	NA
COLO-800	118	0.123	2.713	1	0.008	TRUE	NA
COLO-824	198	0.091	2.491	0.95	0.084	TRUE	NA
COLO-829	105	0.119	2.901	0.99	0.019	TRUE	NA
COR-L105	95	0.049	1.71	1	0.053	TRUE	NA
COR-L23	151	0.192	2.268	0.95	0.002	FALSE	High prop. Non-integer
COR-L279	63	0.115	3.253	0.95	0.001	TRUE	NA
COR-L311	188	0.249	5.182	0.98	0.001	FALSE	High prop. Non-integer; No fit correlation
COR-L88	104	0.208	3.572	1	0.023	TRUE	NA
COR-L95	130	0.077	2.827	0.95	0.171	TRUE	NA
CP50-MEL-B	94	0.126	2.666	0.95	0.001	TRUE	NA
CP66-MEL	122	0.084	2.075	0.95	0.013	TRUE	NA
CP67-MEL	189	0.047	1.98	0.96	0.079	TRUE	NA
CPC-N	113	0.11	2.115	0.95	0.054	TRUE	NA
CRO-AP2	120	0.1	2.296	0.99	0.032	TRUE	NA
CTB-1	113	0.071	2.097	1	0.005	TRUE	NA
CTV-1	200	0.08	2.045	0.98	0.052	FALSE	Non-interleaving copy states
CW-2	43	0.023	2.014	1	0.005	TRUE	NA
D-245MG	73	0.092	3.676	0.95	0.119	TRUE	NA
D-247MG	76	0.061	4.227	0.95	0.066	TRUE	NA
D-263MG	179	0.116	3.269	1	NA	TRUE	NA
D-283MED	52	0.026	2	0.95	0.004	TRUE	NA
D-336MG	95	0.187	3.312	0.95	0.171	TRUE	NA
D-392MG	79	0.179	3.89	0.95	0.046	TRUE	NA
D-423MG	160	0.244	4.339	1	0.104	FALSE	High prop. Non-integer
D-502MG	92	0.117	3.765	0.95	0.212	TRUE	NA
D-542MG	138	0.207	3.146	0.95	0.055	FALSE	High prop. Non-integer
D-566MG	48	0.108	3.453	0.95	0.025	TRUE	NA
DAN-G	239	0.132	2.958	0.95	NA	TRUE	NA
Daoy	133	0.19	4.166	0.95	0.241	FALSE	High prop. Non-integer
Daudi	36	0.026	1.963	0.99	0.021	TRUE	NA
DB	118	0.169	3.291	0.95	0.025	TRUE	NA
DBTRG-05MG	113	0.209	5.836	0.97	0.012	FALSE	High prop. Non-integer
DEL	82	0.172	3.124	0.95	0.004	TRUE	NA
Detroit562	226	0.249	3.405	1	0.014	FALSE	High prop. Non-integer; No fit correlation; oversegmentation
DG-75	62	0.025	1.948	0.95	0.029	TRUE	NA
DIFI	249	0.183	4.699	1	0.036	FALSE	High prop. Non-integer; No fit correlation; oversegmentation
DJM-1	117	0.086	1.913	0.96	0.035	TRUE	NA
DK-MG	80	0.037	1.907	0.95	0.081	TRUE	NA
DMS-114	153	0.08	2.935	0.95	0.024	TRUE	NA
DMS-273	107	0.184	3.808	0.95	0.015	FALSE	High prop. Non-integer
DMS-53	218	0.127	2.725	0.97	0.031	TRUE	NA
DMS-79	199	0.203	4.935	0.95	0.005	FALSE	High prop. Non-integer
DND-41	355	0.174	1.949	1	0.022	FALSE	Oversegmentation
DOHH-2	46	0.1	4.081	1	0.034	FALSE	non-interleaving copy states
DOK	81	0.173	3.362	0.95	0.014	TRUE	NA
DoTc2-4510	241	0.165	3.356	0.95	0.095	FALSE	High prop. Non-integer; No fit correlation; oversegmentation
DOV13	67	0.052	1.902	0.95	0.12	TRUE	NA
DSH1	184	0.159	3.484	0.95	NA	TRUE	NA
DU-145	113	0.11	2.597	1	0.012	TRUE	NA
DU-4475	162	0.15	3.979	0.96	0.049	TRUE	NA
EB-3	56	0.074	1.992	1	0.013	TRUE	NA
EB2	45	0.209	1.139	0.95	0.962	FALSE	High prop. Non-integer
EBC-1	236	0.272	4.014	0.95	0.187	FALSE	High prop. Non-integer
EC-GI-10	321	0.196	3.473	0.95	0.023	FALSE	Oversegmentation
ECC10	87	0.122	3.585	0.95	0.009	TRUE	NA
ECC12	168	0.09	2.148	0.95	0.003	TRUE	NA
EFM-19	296	0.15	2.913	0.95	0.305	TRUE	NA
EFM-192A	351	0.225	4.698	1	0.006	FALSE	High prop. Non-integer; No fit correlation; oversegmentation
EFO-21	253	0.126	2.931	0.95	NA	TRUE	NA
EFO-27	45	0.119	2.022	1	0.003	TRUE	NA
EGI-1	111	0.085	2.776	0.95	0.142	TRUE	NA
EHEB	34	0.05	1.996	0.95	0.014	TRUE	NA
EJM	279	0.106	2.98	0.95	0.05	TRUE	NA
EKVX	201	0.109	2.792	0.98	0.037	TRUE	NA
EM-2	62	0.225	3.695	1	0.215	FALSE	High prop. Non-integer
EN	148	0.221	3.911	0.96	0.004	FALSE	High prop. Non-integer
EoL-1-cell	77	0.022	2.157	1	0.061	TRUE	NA
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_A03_780384	34	0.068	2.068	1	0.001	TRUE	NA
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_A04_780198	76	0.243	4.128	0.95	0.001	FALSE	High prop. Non-integer
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_B10_780248	79	0.189	3.992	0.95	0.026	TRUE	NA
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_B11_780304	35	0.058	1.987	1	0.001	TRUE	NA
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_C06_780386	103	0.095	1.981	1	0.055	TRUE	NA
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_C08_780362	384	0.228	3.772	1	0.013	FALSE	Oversegmentation
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_C09_780208	254	0.165	2.036	1	0.028	FALSE	High prop. Non-integer; oversegmemtation
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_C10_780376	73	0.141	2.932	0.98	0.081	TRUE	NA
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_D06_780350	95	0.063	2.036	1	0.059	TRUE	NA
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_D09_780254	75	0.041	1.898	1	0.152	TRUE	NA
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_E06_780200	214	0.2	5.177	1	0.224	FALSE	High prop. Non-integer
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_E08_780228	242	0.129	1.772	1	0.164	TRUE	Some oversegmentation
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_E12_780210	50	0.049	2.121	1	0.011	TRUE	NA
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_F01_780336	118	0.232	2.589	1	0	FALSE	High prop. Non-integer; No fit correlation
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_F02_780330	63	0.15	2.862	1	0.005	TRUE	NA
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_F04_780212	112	0.067	2.057	1	0.017	TRUE	NA
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_F06_780348	105	0.226	3.434	1	0.015	FALSE	High prop. Non-integer
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_F08_780382	97	0.16	5.545	0.98	0.009	FALSE	High prop. Non-integer
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_F09_780206	227	0.139	2.546	1	0.134	TRUE	Some oversegmentation
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_F11_780364	54	0.138	4.396	1	0.005	TRUE	NA
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_F12_780272	111	0.229	4.181	0.98	NA	FALSE	High prop. Non-integer
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_G01_780370	104	0.191	4.01	0.96	0.002	FALSE	High prop. Non-integer
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_G02_780354	69	0.068	1.999	1	0	TRUE	NA
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_G03_780204	47	0.042	1.951	1	0	TRUE	NA
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_G04_780238	115	0.233	4.866	1	0.167	FALSE	High prop. Non-integer
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_G05_780302	169	0.203	3.721	1	0.031	TRUE	NA
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_G06_780360	36	0.084	2.05	0.99	0.002	TRUE	NA
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_G07_780268	43	0.101	2.084	1	0.003	TRUE	NA
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_G08_780374	34	0.059	2.008	1	0.008	TRUE	NA
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_G09_780282	238	0.223	4.03	0.95	0.01	TRUE	Some oversegmentation
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_G10_780218	389	0.21	4.237	1	0.072	FALSE	High prop. Non-integer
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_G11_780266	118	0.217	4.669	0.99	0	FALSE	High prop. Non-integer
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_H01_780332	33	0.052	1.982	1	0.001	TRUE	NA
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_H03_780240	46	0.114	2.025	1	0.005	FALSE	Refit at higher ploidy failed to improve fit
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_H04_780260	44	0.055	1.974	1	0.003	TRUE	NA
EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_H05_780224	90	0.081	2.498	0.95	0.021	TRUE	NA
EPLC-272H	182	0.167	3.05	0.95	0.079	TRUE	NA
ES-2	157	0.119	3.014	0.95	NA	TRUE	NA
ES1	58	0.056	1.955	0.95	0.021	TRUE	NA
ES3	60	0.037	2.147	0.95	0.133	TRUE	NA
ES4	95	0.064	2.221	0.99	0.009	TRUE	NA
ES5	64	0.144	3.594	0.95	0.006	TRUE	NA
ES6	158	0.119	3.243	0.95	0.054	TRUE	NA
ES7	167	0.132	3.205	0.95	0.003	TRUE	NA
ES8	103	0.063	2.113	0.95	0.096	TRUE	NA
ESO26	172	0.053	1.796	1	0.066	TRUE	NA
ESS-1	50	0.162	3.88	0.95	0.008	TRUE	NA
ETK-1	163	0.156	2.875	0.95	0.017	TRUE	NA
EVSA-T	249	0.212	3.864	0.95	0.112	FALSE	High prop. Non-integer; oversegmemtation
EW-1	79	0.109	2.158	0.95	0.025	TRUE	NA
EW-11	140	0.186	4.603	1	0.002	FALSE	High prop. Non-integer; oversegmemtation
EW-12	47	0.076	2.363	0.95	0.006	TRUE	NA
EW-13	62	0.07	1.924	0.95	0.052	TRUE	NA
EW-16	60	0.039	1.983	0.97	0.024	TRUE	NA
EW-18	60	0.053	2.405	0.95	0.007	TRUE	NA
EW-22	72	0.117	2.433	0.95	0.005	TRUE	NA
EW-24	67	0.094	2.353	1	0.005	TRUE	NA
EW-3	58	0.091	4.106	0.95	0	TRUE	NA
EW-7	74	0.061	2.467	0.99	0.005	TRUE	NA
